20170912,서초,22.1,58.6,21,12,0.025,0.031,0.5,0.004,105
20170913,서초,21.4,49.3,21,10,0.024,0.035,0.4,0.004,100
20170914,서초,22.4,48.8,24,12,0.024,0.035,0.5,0.003,101
20170915,서초,22.6,48.4,15,8,0.021,0.029,0.4,0.002,95
20170916,서초,22,50.9,9,5,0.022,0.022,0.3,0.002,102
20170917,서초,23.1,51.3,8,4,0.026,0.015,0.3,0.002,102
20170918,서초,21.9,62.8,18,9,0.026,0.028,0.4,0.003,107
20170919,서초,22.6,79.1,59,39,0.044,0.033,0.7,0.004,96
20170920,서초,19.5,48.9,20,8,0.029,0.022,0.3,0.003,96
20170921,서초,20.3,57.3,28,16,0.023,0.046,0.5,0.003,104
20170922,서초,20.6,60.8,30,20,0.031,0.047,0.5,0.004,98
20170923,서초,21.8,69.8,52,27,0.025,0.047,0.6,0.005,101
20170924,서초,22.4,71.5,62,38,0.038,0.031,0.6,0.004,97
20170925,서초,23.4,58,43,27,0.025,0.049,0.6,0.003,99
20170926,서초,25.1,57,45,27,0.029,0.049,0.6,0.003,92
20170927,서초,22.7,66.4,41,26,0.024,0.037,0.5,0.003,104
20170928,서초,19.2,49.1,20,8,0.029,0.019,0.4,0.003,103
20170929,서초,17.4,39.3,20,9,0.023,0.03,0.4,0.004,103
20170930,서초,20,64.9,33,19,0.024,0.041,0.5,0.005,110
20171001,서초,18.2,74.8,35,23,0.015,0.04,0.6,0.003,99
20171002,서초,22,62.3,18,10,0.033,0.018,0.3,0.003,86
20171003,서초,17.6,49.8,33,12,0.026,0.015,0.4,0.003,91
20171004,서초,16.7,48.5,20,9,0.024,0.017,0.3,0.002,98
20171005,서초,18.7,56.4,15,8,0.021,0.022,0.3,0.003,99
20171006,서초,18.9,66.4,12,7,0.022,0.019,0.3,0.002,92
20171007,서초,21.9,67.6,9,6,0.022,0.026,0.4,0.002,93
20171008,서초,23,66.9,19,13,0.024,0.029,0.5,0.004,95
20171009,서초,22.5,66,24,17,0.029,0.029,0.4,0.005,98
20171010,서초,21.4,76.9,29,19,0.011,0.038,0.5,0.003,95
20171011,서초,15.5,77.1,11,6,0.022,0.015,0.3,0.002,104
20171012,서초,11.4,71,20,12,0.012,0.025,0.4,0.002,98
20171013,서초,12.8,51,25,15,0.017,0.03,0.4,0.003,90
20171014,서초,14.4,42.8,20,11,0.026,0.025,0.4,0.003,101
20171015,서초,15.8,42.5,21,12,0.022,0.03,0.4,0.003,93
20171016,서초,16.6,47.6,28,16,0.018,0.033,0.5,0.003,95
20171017,서초,16.2,47.1,36,22,0.016,0.045,0.6,0.003,89
20171018,서초,16.5,58.8,25,16,0.015,0.038,0.5,0.003,95
20171019,서초,17,58.3,18,11,0.019,0.033,0.4,0.002,95
20171020,서초,17,58.6,31,18,0.015,0.044,0.5,0.003,97
20171021,서초,17.6,52.8,36,23,0.017,0.043,0.6,0.003,92
20171022,서초,16.3,50.4,25,15,0.024,0.026,0.4,0.002,91
20171023,서초,13.7,47,21,10,0.027,0.026,0.4,0.002,110
20171024,서초,14.4,54.3,30,16,0.016,0.041,0.5,0.003,94
20171025,서초,14.4,59,38,22,0.021,0.042,0.6,0.003,103
20171026,서초,14.5,56.5,46,29,0.015,0.05,0.7,0.003,93
20171027,서초,16.9,54.4,59,37,0.02,0.055,0.8,0.003,100
20171028,서초,17.2,51.9,44,28,0.023,0.046,0.7,0.003,99
20171029,서초,11.5,45.6,57,22,0.026,0.024,0.5,0.003,104
20171030,서초,7.7,27.4,32,14,0.023,0.023,0.4,0.003,96
20171031,서초,10.4,54.3,31,15,0.011,0.044,0.6,0.004,96
20171101,서초,14.4,72.4,37,20,0.021,0.041,0.5,0.005,98
20171102,서초,15.5,78.8,47,28,0.022,0.044,0.5,0.005,102
20171103,서초,12.3,66,38,26,0.029,0.027,0.4,0.003,95
20171104,서초,7.8,47.9,53,41,0.022,0.026,0.5,0.003,87
20171105,서초,8.4,52.5,42,30,0.013,0.041,0.6,0.004,92
