"","dt","temp","humi","pm10","sales2"
"833","20170413",12.6999998092651,54,63,104.2
"834","20170414",13,57.9000015258789,50,108.7
"835","20170415",16.7999992370605,59.4000015258789,59,97.3
"836","20170416",18.7000007629395,52.9000015258789,55,97.7
"837","20170417",14.6999998092651,66.5,39,115.1
"838","20170418",11.6999998092651,76.5,35,107
"839","20170419",12.6000003814697,43.0999984741211,70,113.8
"840","20170420",12.8999996185303,45.4000015258789,71,99.3
"841","20170421",13.1000003814697,56.5,59,97
"842","20170422",14.8000001907349,48.4000015258789,57,109.5
"843","20170423",14.8999996185303,40,45,116.4
"844","20170424",15.1000003814697,39.4000015258789,38,111.9
"845","20170425",16,56.7999992370605,51,87.9
"846","20170426",15.1000003814697,36,41,115.9
"847","20170427",13.6000003814697,41.7999992370605,39,122.1
"848","20170428",14.3999996185303,57.2999992370605,57,114.8
"849","20170429",17.1000003814697,44.2999992370605,57,107.9
"850","20170430",19.2999992370605,57.9000015258789,81,137
"851","20170501",20.1000003814697,50.7999992370605,84,126
"852","20170502",20.7000007629395,42,87,139
"853","20170503",21.5,34.0999984741211,60,90.3
"854","20170504",21,43.5999984741211,56,99
"855","20170505",20.8999996185303,53.4000015258789,45,180
"856","20170506",14.8999996185303,32,164,131
"857","20170507",16.6000003814697,42.5999984741211,75,117.8
"858","20170508",17.8999996185303,43.5999984741211,147,132
"859","20170509",17.1000003814697,62.5999984741211,112,136
"860","20170510",16.3999996185303,73,37,103.9
"861","20170511",19.2999992370605,65.3000030517578,65,88.4
"862","20170512",19.1000003814697,71.5999984741211,70,74.4
"863","20170513",16.3999996185303,77.8000030517578,45,85.8
"864","20170514",15.6999998092651,58.2999992370605,48,124.4
"865","20170515",16,61.4000015258789,35,121
"866","20170516",17.1000003814697,60.5,30,114.5
"867","20170517",18.7000007629395,50,31,111.2
"868","20170518",20.3999996185303,41.9000015258789,40,97.8
"869","20170519",21.1000003814697,42.5999984741211,39,110.4
"870","20170520",20.8999996185303,44,32,107.3
"871","20170521",21.5,48.0999984741211,26,114.2
"872","20170522",21.7999992370605,53.5999984741211,35,97.1
"873","20170523",20,68,29,104.3
"874","20170524",21.7999992370605,60.4000015258789,22,112.1
"875","20170525",19.2000007629395,45.5999984741211,32,116.1
"876","20170526",17.7000007629395,41.5,19,119.9
"877","20170527",19.5,46.0999984741211,27,106.4
"878","20170528",21.2000007629395,50.5999984741211,37,93
"879","20170529",22.8999996185303,61.7999992370605,59,87.1
"880","20170530",23.6000003814697,43.5,44,96.7
"881","20170531",23.2999992370605,49.0999984741211,31,104.6
"882","20170601",23.2999992370605,51.7999992370605,29,130
"883","20170602",20.5,37.4000015258789,23,130
"884","20170603",20.5,44,25,118
"885","20170604",21.7000007629395,36.9000015258789,24,139
"886","20170605",24.2000007629395,33.2999992370605,22,132
"887","20170606",19.3999996185303,60,18,136
"888","20170607",17.6000003814697,91.4000015258789,14,138
"889","20170608",20.1000003814697,67.3000030517578,38,128
"890","20170609",21.2000007629395,69.8000030517578,56,134
"891","20170610",21.5,46.7999992370605,41,135
"892","20170611",22.7999992370605,33.7999992370605,24,127
"893","20170612",22.1000003814697,45.5,25,126
"894","20170613",21.5,63,28,128
"895","20170614",21.7999992370605,63,37,122
"896","20170615",23.1000003814697,62.4000015258789,44,134
"897","20170616",25.5,55.7999992370605,55,125
"898","20170617",24.2000007629395,52.2999992370605,41,126
"899","20170618",24.2999992370605,52,35,134
"900","20170619",24.7999992370605,50.9000015258789,42,131
"901","20170620",26,43.4000015258789,40,121
"902","20170621",25.3999996185303,52.5999984741211,46,135
"903","20170622",25.2999992370605,57.2999992370605,31,129
"904","20170623",26.7000007629395,53,34,114
"905","20170624",24.5,60.4000015258789,32,141
"906","20170625",23.7999992370605,75.4000015258789,28,132
"907","20170626",23.1000003814697,76.9000015258789,22,134
"908","20170627",25.2000007629395,67.5,22,140
"909","20170628",26,63.5,36,132
"910","20170629",26.2000007629395,64.8000030517578,41,134
"911","20170630",25.8999996185303,65.9000015258789,45,128
"912","20170701",25.2999992370605,73.5999984741211,36,74.8
"913","20170702",24.2999992370605,90.5,27,80.6
"914","20170703",24.7000007629395,87.5999984741211,22,99.6
"915","20170704",26.7000007629395,74.5,33,77.4
"916","20170705",27.3999996185303,66.9000015258789,34,74.2
"917","20170706",27.6000003814697,72.3000030517578,44,67.2
"918","20170707",26.3999996185303,80.8000030517578,22,95.6
"919","20170708",26,83.3000030517578,26,85.8
"920","20170709",26.2999992370605,88,26,79.8
"921","20170710",24,96.5,13,106.4
"922","20170711",26,81.4000015258789,36,69.8
"923","20170712",27.1000003814697,75.9000015258789,43,64.4
"924","20170713",27.6000003814697,71,44,63.2
"925","20170714",28.7000007629395,68.4000015258789,43,68.4
"926","20170715",25,89,19,95.2
"927","20170716",26.2000007629395,83.4000015258789,17,95.6
"928","20170717",26.7999992370605,77.3000030517578,21,96.8
"929","20170718",26.5,80.5999984741211,25,86
"930","20170719",28.2999992370605,71.4000015258789,35,81
"931","20170720",29.8999996185303,66.0999984741211,46,49.8
"932","20170721",29.7999992370605,73.0999984741211,55,54
"933","20170722",29.2999992370605,75.8000030517578,55,51
"934","20170723",27,89.5,51,58.8
"935","20170724",26.2000007629395,82.3000030517578,32,76.6
"936","20170725",29.3999996185303,64.0999984741211,24,86.2
"937","20170726",28.7000007629395,55.5999984741211,17,92.6
"938","20170727",27.1000003814697,62.5,26,84.8
"939","20170728",25.5,92.0999984741211,34,79.2
"940","20170729",27.2000007629395,72.3000030517578,14,103.2
"941","20170730",27.8999996185303,64.4000015258789,20,77
"942","20170731",25.7000007629395,82.3000030517578,22,94.6
"943","20170801",28.6000003814697,73,20,104
"944","20170802",30,71.9000015258789,34,83.2
"945","20170803",30.2000007629395,60.5999984741211,25,86
"946","20170804",30.2999992370605,60.0999984741211,25,88
"947","20170805",31.3999996185303,63,26,83.8
"948","20170806",29.7999992370605,71.9000015258789,24,84.2
"949","20170807",29.2000007629395,68.0999984741211,30,83
"950","20170808",28.2000007629395,67.0999984741211,40,65
"951","20170809",27.6000003814697,66.4000015258789,32,87.6
"952","20170810",24.7999992370605,89.9000015258789,8,104.4
"953","20170811",27,72.5,11,103.8
"954","20170812",27.7999992370605,60.2999992370605,10,99
"955","20170813",26.2999992370605,62.0999984741211,9,116.2
"956","20170814",24.6000003814697,67.5,9,110.2
"957","20170815",21.8999996185303,93.8000030517578,6,104.8
"958","20170816",23.2999992370605,80.5,9,110.2
"959","20170817",24.7999992370605,77.0999984741211,11,103.8
"960","20170818",26.2999992370605,75.5999984741211,25,83
"961","20170819",26.1000003814697,75.8000030517578,23,96.4
"962","20170820",23.2000007629395,95.5999984741211,11,96.8
"963","20170821",25.7999992370605,81.5,13,107.4
"964","20170822",27.2999992370605,70.5999984741211,15,96
"965","20170823",27.2000007629395,84.0999984741211,23,94.4
"966","20170824",26.5,85.3000030517578,24,85.2
"967","20170825",25.2999992370605,61.9000015258789,24,95.2
"968","20170826",24.2000007629395,54.5,21,81.8
"969","20170827",22.7000007629395,62,21,83.8
"970","20170828",21.5,73.0999984741211,25,75
"971","20170829",19.5,51.4000015258789,15,93
"972","20170830",19.7999992370605,55.7999992370605,21,95.8
"973","20170831",22.2000007629395,62.4000015258789,34,74.2
"974","20170901",23.2999992370605,56,22,131
"975","20170902",23.7999992370605,59,23,138
"976","20170903",23.7000007629395,64,28,133
"977","20170904",24.6000003814697,53.7999992370605,28,131
"978","20170905",21.8999996185303,62.4000015258789,23,140
"979","20170906",20.6000003814697,75.5,24,147
"980","20170907",22.3999996185303,73.3000030517578,35,128
"981","20170908",24.2999992370605,67.5,58,133
"982","20170909",23.7999992370605,70.0999984741211,60,131
"983","20170910",23,74.3000030517578,46,120
"984","20170911",21.2000007629395,79.8000030517578,21,142
"985","20170912",22.1000003814697,58.5999984741211,21,128
"986","20170913",21.3999996185303,49.2999992370605,21,141
"987","20170914",22.3999996185303,48.7999992370605,24,119
"988","20170915",22.6000003814697,48.4000015258789,15,129
"989","20170916",22,50.9000015258789,9,128
"990","20170917",23.1000003814697,51.2999992370605,8,123
"991","20170918",21.8999996185303,62.7999992370605,18,132
"992","20170919",22.6000003814697,79.0999984741211,59,138
"993","20170920",19.5,48.9000015258789,20,128
"994","20170921",20.2999992370605,57.2999992370605,28,139
"995","20170922",20.6000003814697,60.7999992370605,30,130
"996","20170923",21.7999992370605,69.8000030517578,52,128
"997","20170924",22.3999996185303,71.5,62,140
"998","20170925",23.3999996185303,58,43,126
"999","20170926",25.1000003814697,57,45,125
"1000","20170927",22.7000007629395,66.4000015258789,41,154
"1001","20170928",19.2000007629395,49.0999984741211,20,140
"1002","20170929",17.3999996185303,39.2999992370605,20,132
"1003","20170930",20,64.9000015258789,33,131
"1004","20171001",18.2000007629395,74.8000030517578,35,121
"1005","20171002",22,62.2999992370605,18,132
"1006","20171003",17.6000003814697,49.7999992370605,33,125
"1007","20171004",16.7000007629395,48.5,20,143
"1008","20171005",18.7000007629395,56.4000015258789,15,123
"1009","20171006",18.8999996185303,66.4000015258789,12,130
"1010","20171007",21.8999996185303,67.5999984741211,9,135
"1011","20171008",23,66.9000015258789,19,124
"1012","20171009",22.5,66,24,139
"1013","20171010",21.3999996185303,76.9000015258789,29,133
"1014","20171011",15.5,77.0999984741211,11,135
"1015","20171012",11.3999996185303,71,20,137
"1016","20171013",12.8000001907349,51,25,125
"1017","20171014",14.3999996185303,42.7999992370605,20,140
"1018","20171015",15.8000001907349,42.5,21,135
"1019","20171016",16.6000003814697,47.5999984741211,28,129
"1020","20171017",16.2000007629395,47.0999984741211,36,139
"1021","20171018",16.5,58.7999992370605,25,131
"1022","20171019",17,58.2999992370605,18,136
"1023","20171020",17,58.5999984741211,31,133
"1024","20171021",17.6000003814697,52.7999992370605,36,125
"1025","20171022",16.2999992370605,50.4000015258789,25,136
"1026","20171023",13.6999998092651,47,21,120
"1027","20171024",14.3999996185303,54.2999992370605,30,130
"1028","20171025",14.3999996185303,59,38,126
"1029","20171026",14.5,56.5,46,121
"1030","20171027",16.8999996185303,54.4000015258789,59,141
"1031","20171028",17.2000007629395,51.9000015258789,44,136
"1032","20171029",11.5,45.5999984741211,57,139
"1033","20171030",7.69999980926514,27.3999996185303,32,125
"1034","20171031",10.3999996185303,54.2999992370605,31,133
"1035","20171101",14.3999996185303,72.4000015258789,37,120
"1036","20171102",15.5,78.8000030517578,47,130
"1037","20171103",12.3000001907349,66,38,129
"1038","20171104",7.80000019073486,47.9000015258789,53,130
"1039","20171105",8.39999961853027,52.5,42,137
"1040","20171106",11.3999996185303,64.5,34,139
"1041","20171107",14.3999996185303,61.4000015258789,43,140
"1042","20171108",13.1000003814697,53.2999992370605,57,131
"1043","20171109",9.39999961853027,39.5999984741211,48,142
"1044","20171110",9.80000019073486,56.2999992370605,44,129
